intent,question
Set Alarm,Set an alarm for 7 AM tomorrow
Set Alarm,Can you set an alarm for 6:30 in the morning?
Set Alarm,Wake me up at 8 AM
Set Alarm,Set alarm for 9 PM tonight
Set Alarm,Create an alarm for 5:30 AM
Set Alarm,Remind me to wake up at 7:15
Set Alarm,Set an alarm for 6 AM sharp
Set Alarm,Alarm for 10:30 PM please
Set Alarm,Set morning alarm for 7:45
Set Alarm,Create a recurring alarm for weekdays
Set Alarm,Set alarm for Saturday morning
Set Alarm,Wake me up at 5 AM tomorrow
Set Alarm,Set alarm for 12 PM noon
Set Alarm,Set recurring alarm for gym
Set Alarm,Remind me at 6:15 AM
Set Alarm,Alarm for weekend mornings
Set Alarm,Set alarm for 11 PM tonight
Set Alarm,Create morning alarm for weekdays
Set Alarm,Set alarm every Monday at 7 AM
Set Alarm,Wake me at 7:30 tomorrow
Send Message,Text John hello how are you
Send Message,Send a message to Sarah
Send Message,Message mom I'll be late
Send Message,Text my wife I love you
Send Message,Send WhatsApp message to David
Send Message,Message the group chat
Send Message,Text Mike about the meeting
Send Message,Send SMS to Lisa
Send Message,Write a message to my brother
Send Message,Send text to emergency contact
Send Message,Text Anna about dinner
Send Message,Message boss regarding report
Send Message,Text Tom about the schedule
Send Message,Send message to class group
Send Message,Text dad good morning
Send Message,Message friend for party invite
Send Message,Text team about project update
Send Message,Send WhatsApp message to client
Send Message,Message Lisa about meeting
Make Call,Call my mom
Make Call,Dial John's number
Make Call,Phone my brother
Make Call,Call emergency services
Make Call,Ring my office
Make Call,Make a video call to Sarah
Make Call,Call home
Make Call,Phone the pizza place
Make Call,Call my dentist office
Make Call,Make an international call
Make Call,Call grandma
Make Call,Dial the hotel reception
Make Call,Call taxi service
Make Call,Phone doctor office
Make Call,Call bank support
Make Call,Make video call to mom
Make Call,Call uncle in USA
Make Call,Phone office manager
Make Call,Call neighbor
Make Call,Call electricity department
Check Weather,What's the weather today?
Check Weather,Is it going to rain tomorrow?
Check Weather,Temperature for this weekend
Check Weather,Weather forecast for New York
Check Weather,How hot is it outside?
Check Weather,Will it snow today?
Check Weather,Weather update please
Check Weather,What's the humidity level?
Check Weather,Check weather for my location
